Файл;Назва;Категорія;Ширина м;Висота м;Глибина м;Трикутники;Точка привязки
P48_Ramp_Turn90;Пандус з поворотом 90°;01_Primitives;1.8;1.15;1.8;84;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P49_Quarter_Disc;Чверть круглої плити;01_Primitives;1.49922;0.22;1.49922;88;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P50_Notched_Block;Блок із прямокутною виїмкою;01_Primitives;1.5;1.0;1.0;92;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
A01_Wall_Solid_2m;Суцільна стіна 2 × 2 м;02_Architecture;1.992;1.992;0.34;540;"Низ ліворуч; модуль росте вздовж +X Unity"
A02_Wall_Half_1m;Вузька стіна 1 × 2 м;02_Architecture;0.992;1.992;0.34;364;"Низ ліворуч; модуль росте вздовж +X Unity"
A03_Wall_Low_2m;Низька стіна 2 × 1 м;02_Architecture;1.992;0.992;0.34;276;"Низ ліворуч; модуль росте вздовж +X Unity"
A04_Wall_Window_2m;Стіна з вікном 1 × 1 м;02_Architecture;1.992;1.992;0.34;752;"Низ ліворуч; модуль росте вздовж +X Unity"
A05_Wall_Door_2m;Стіна з дверним отвором 1 × 1,75 м;02_Architecture;1.992;1.992;0.34;652;"Низ ліворуч; модуль росте вздовж +X Unity"
A06_Wall_Corner;Кут стіни 1 × 1 м;02_Architecture;1.0;1.994;1.0;272;"Низ ліворуч; модуль росте вздовж +X Unity"
A07_Foundation_2m;Фундаментна плита 2 × 2 м;02_Architecture;2.0;0.25;2.0;88;"Низ ліворуч; модуль росте вздовж +X Unity"
A08_Floor_Wood_2m;Дерев’яне перекриття 2 × 2 м;02_Architecture;2.0;0.2;2.0;440;"Низ ліворуч; модуль росте вздовж +X Unity"
A09_Column_Base;Основа колони 0,6 м;02_Architecture;0.6;0.25;0.6;88;Низ по осі колони
A10_Column_Shaft_2m;Гранований стовбур колони 2 м;02_Architecture;0.48;2.0;0.48;60;Низ по осі колони
A11_Column_Capital;Капітель колони 0,6 м;02_Architecture;0.6;0.25;0.6;88;Низ по осі колони
A12_Stone_Lintel_2m;Кам’яна перемичка 2 м;02_Architecture;2.0;0.28;0.42;44;"Низ ліворуч; модуль росте вздовж +X Unity"
A13_Roof_Slope_2m;Схил даху: прогін 2 м, підйом 1,4 м;02_Architecture;2.195;1.64962;2.0;440;"Низ ліворуч; модуль росте вздовж +X Unity"
A14_Roof_Ridge_2m;Коньок даху 2 м;02_Architecture;0.32;0.188;2.0;68;"Низ ліворуч; модуль росте вздовж +X Unity"
A15_Gable_4m;Фронтон 4 × 1,4 м;02_Architecture;3.96563;1.392;0.34;616;"Низ ліворуч; модуль росте вздовж +X Unity"
A16_Wood_Post_2m;Дерев’яна стійка 2 м;02_Architecture;0.18;2.0;0.18;44;"Низ ліворуч; модуль росте вздовж +X Unity"
A17_Wood_Brace_1m;Діагональний підкіс 1 × 1 м;02_Architecture;1.0;1.0;0.14;68;"Низ ліворуч; модуль росте вздовж +X Unity"
A18_Ruin_Wall_2m;Зруйнована стіна 2 м;02_Architecture;1.992;1.912;0.34;592;"Низ ліворуч; модуль росте вздовж +X Unity"
A19_Ruin_Corner;Зруйнований кут;02_Architecture;2.166;1.912;1.766;976;"Низ ліворуч; модуль росте вздовж +X Unity"
A20_Column_Broken;Зламана колона;02_Architecture;0.48;1.17473;0.48;60;Низ по осі колони
A21_Ruin_Arch_Half;Половина зруйнованої арки;02_Architecture;0.8467;2.21513;0.4;364;"Низ ліворуч; модуль росте вздовж +X Unity"
A22_Rubble_Cluster;Група кам’яних уламків;02_Architecture;1.37033;0.41753;1.06622;276;"Низ ліворуч; модуль росте вздовж +X Unity"
A23_Wood_Door;Окремі двері з точкою обертання на завісі;02_Architecture;0.938;1.7;0.117;352;"Низ біля завіси; обертання навколо Y Unity"
A24_Window_Shutter;Окрема віконниця з точкою обертання на завісі;02_Architecture;0.468;0.96;0.117;264;"Низ біля завіси; обертання навколо Y Unity"
T01_Ground_Flat_2m;Ґрунтова плитка 2 × 2 м;03_Terrain;2.0;0.3;2.0;96;"Нижній кут (0,0,0); плитка вздовж +X і +Z Unity"
T02_Ground_Slope_2m;Схил 2 м із підйомом 1 м;03_Terrain;2.0;1.25;2.0;96;"Нижній кут (0,0,0); плитка вздовж +X і +Z Unity"
T03_Ground_Corner_2m;Кутовий перехід рельєфу;03_Terrain;2.0;1.25;2.0;96;"Нижній кут (0,0,0); плитка вздовж +X і +Z Unity"
T04_Cliff_Straight_2m;Пряма скеля заввишки 2 м;03_Terrain;2.0;2.0;1.12772;52;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
T05_Cliff_Corner_2m;Кутова скеля заввишки 2 м;03_Terrain;2.0;2.0;2.12772;60;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
T06_Rock_Arch;Природна кам’яна арка;03_Terrain;3.6257;2.36803;1.11484;122;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
T07_Rock_Pillar;Окрема скеля-стовп;03_Terrain;1.16414;2.6;0.78312;66;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
I01_Dragonfly_Body;Тіло декоративної бабки;04_Nature;0.06;0.05196;0.36;32;"Основа деталі; окремі деталі для складання"
I02_Dragonfly_Wing;Крило бабки;04_Nature;0.34;0.009;0.1;16;"Основа деталі; окремі деталі для складання"
I03_Butterfly_Body;Тіло метелика;04_Nature;0.05;0.0433;0.19;20;"Основа деталі; окремі деталі для складання"
I04_Butterfly_Wing;Крило метелика;04_Nature;0.3;0.009;0.32;16;"Основа деталі; окремі деталі для складання"
N01_Rock_Boulder;Валун;04_Nature;1.95048;1.15;1.33861;66;Низ по центру
N02_Trunk;Стовбур 2 м;04_Nature;0.7;2.0;0.62;164;"Місце приєднання; точки стику — у sockets.json"
N03_Branch_Straight;Пряма гілка;04_Nature;0.28477;1.1543;0.28;92;"Місце приєднання; точки стику — у sockets.json"
N04_Branch_Curved;Вигнута гілка;04_Nature;0.74249;1.01764;0.28;116;"Місце приєднання; точки стику — у sockets.json"
N05_Rock_Slab;Плаский камінь;04_Nature;2.59556;0.52;1.22782;66;Низ по центру
N06_Branch_Fork;Цільна Y-подібна розвилка;04_Nature;1.13583;1.2176;0.31373;270;"Місце приєднання; точки стику — у sockets.json"
N07_Log;Колода;04_Nature;0.56754;0.49945;1.5;76;Низ по центру
N08_Branch_Short;Коротка гілка;04_Nature;0.29581;0.56833;0.28;68;"Місце приєднання; точки стику — у sockets.json"
N09_Leaf_Cluster_Wide;Широкий пучок листя;04_Nature;1.73713;0.80605;1.29461;80;"Місце приєднання; точки стику — у sockets.json"
N10_Leaf_Cluster_Compact;Компактний пучок листя;04_Nature;1.16805;0.87465;1.01069;80;"Місце приєднання; точки стику — у sockets.json"
N11_Leaf_Cluster_Tip;Верхівковий пучок листя;04_Nature;0.77885;0.80605;0.70466;80;"Місце приєднання; точки стику — у sockets.json"
N12_Pine_Bough;Окрема хвойна гілка;04_Nature;1.41421;0.38283;0.86456;374;"Місце приєднання; точки стику — у sockets.json"
N13_Pine_Top;Хвойна верхівка;04_Nature;0.78531;1.1234;0.81694;700;"Місце приєднання; точки стику — у sockets.json"
N14_Grass_Clump;Невеликий пучок об’ємної трави;04_Nature;0.4903;0.54851;0.51172;72;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
N15_Fern_Frond;Окрема гілка папороті;04_Nature;0.53842;0.44455;1.11465;176;Основа окремої гілки папороті
N16_Root_Arc;Вигнутий корінь;04_Nature;1.76175;0.49082;0.45225;80;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
N17_Birch_Trunk;Березовий стовбур;04_Nature;0.36091;3.31236;0.37047;162;"Основа деталі; окремі деталі для складання"
N18_Birch_Branch;Окрема розгалужена гілка берези;04_Nature;1.16597;1.00451;0.46663;76;"Основа деталі; окремі деталі для складання"
N19_Willow_Trunk;Вигнутий стовбур верби;04_Nature;0.80041;2.1424;0.68;60;"Основа деталі; окремі деталі для складання"
N20_Willow_Branch;Розвилка верби;04_Nature;1.68798;0.76967;0.79338;84;"Основа деталі; окремі деталі для складання"
N21_Willow_Droop;Окрема звисаюча група листя;04_Nature;0.53005;1.4833;0.1699;232;"Основа деталі; окремі деталі для складання"
N22_Autumn_Cluster;Осіння група листя;04_Nature;1.50264;1.05;1.09667;66;"Основа деталі; окремі деталі для складання"
N23_Reed_Stem;Очерет: стебло з суцвіттям;04_Nature;0.79049;1.15195;0.15374;106;"Основа деталі; окремі деталі для складання"
N24_Waterweed;Підводна рослина;04_Nature;0.50126;0.64744;0.04516;194;"Основа деталі; окремі деталі для складання"
N25_LilyPad;Листок латаття;04_Nature;0.71769;0.018;0.6398;60;"Основа деталі; окремі деталі для складання"
N26_LilyFlower;Квітка латаття;04_Nature;0.46276;0.14337;0.40076;234;"Основа деталі; окремі деталі для складання"
N27_Submerged_Wood;Підводний корч;04_Nature;1.18765;0.53567;0.5302;70;"Основа деталі; окремі деталі для складання"
N28_Pebble_Bed;Група донних камінців;04_Nature;0.91834;0.17;0.77024;462;"Основа деталі; окремі деталі для складання"
N29_Meadow_Grass;Лучна трава;04_Nature;0.5577;0.46133;0.55362;196;"Основа деталі; окремі деталі для складання"
N30_Broadleaf_Plant;Широколиста трав’яна рослина;04_Nature;0.87202;0.37227;0.91689;140;"Основа деталі; окремі деталі для складання"
D01_Fence_Post;Стовп огорожі;05_Props;0.2;1.55;0.2;50;"Низ по центру; точні стики у STAGE4_MODULES.json"
D02_Fence_Rails_2m;Дві поперечини огорожі, 2 м;05_Props;2.0;0.79;0.13;88;"Низ по центру; точні стики у STAGE4_MODULES.json"
D03_Fence_Pickets_2m;Секція штахетника, 2 м;05_Props;2.0;1.25831;0.1925;536;"Низ по центру; точні стики у STAGE4_MODULES.json"
D04_Gate_Leaf_1m;Окрема стулка воріт, 1 м;05_Props;1.0;1.05;0.2065;396;"Низ лівої завіси; обертання Y Unity"
D05_Crate_Open;Відкритий дощатий ящик;05_Props;1.0;0.8;0.8;1100;"Низ по центру; точні стики у STAGE4_MODULES.json"
D06_Crate_Lid;Окрема кришка ящика;05_Props;1.014;0.107;0.82;308;"Задній край кришки; обертання X Unity"
D07_Barrel_Open;Порожниста бочка;05_Props;1.02;1.1;1.02;636;"Низ по центру; точні стики у STAGE4_MODULES.json"
D08_Barrel_Lid;Окрема кришка бочки;05_Props;0.874;0.065;0.878;316;"Низ по центру; точні стики у STAGE4_MODULES.json"
D09_Table_Top_2m;Стільниця з дощок, 2 м;05_Props;2.02;0.14;0.92;308;"Низ по центру; точні стики у STAGE4_MODULES.json"
D10_Table_Trestle;Окрема опора столу;05_Props;0.24;0.78;0.83649;176;"Низ по центру; точні стики у STAGE4_MODULES.json"
D11_Bench_Seat_2m;Сидіння лави, 2 м;05_Props;2.0;0.09;0.398;88;"Низ по центру; точні стики у STAGE4_MODULES.json"
D12_Bench_Leg;Окрема опора лави;05_Props;0.14;0.42;0.4;88;"Низ по центру; точні стики у STAGE4_MODULES.json"
D13_Sign_Post;Стійка для вивіски;05_Props;0.98;1.95;0.18;88;"Низ по центру; точні стики у STAGE4_MODULES.json"
D14_Hanging_Sign;Підвісна вивіска;05_Props;0.83555;0.46922;0.065;536;"Низ по центру; точні стики у STAGE4_MODULES.json"
D15_Hinge_Band;Накладна завіса з віссю;05_Props;0.338;0.14;0.06848;152;Центр осі завіси Y Unity
D16_Cart_Wheel;Колесо воза зі спицями, вісь X;05_Props;0.28;1.128;1.128;644;"Центр обертання або складання; див. STAGE4_MODULES.json"
D17_Cart_Bed;Шасі й дощатий настил воза;05_Props;1.82;0.3;2.0;440;"Центр обертання або складання; див. STAGE4_MODULES.json"
D18_Cart_Side;Окремий борт воза, 2 м;05_Props;2.0;0.68;0.115;220;"Центр обертання або складання; див. STAGE4_MODULES.json"
D19_Cart_Endgate;Окремий торцевий борт, 1,3 м;05_Props;1.3;0.68;0.115;220;"Центр обертання або складання; див. STAGE4_MODULES.json"
D20_Cart_Drawbar;Окрема оглобля воза;05_Props;0.144;0.30527;2.25855;32;"Центр обертання або складання; див. STAGE4_MODULES.json"
D21_Well_Ring;Кам’яне кільце криниці;05_Props;2.0;0.83;2.0;1440;"Центр обертання або складання; див. STAGE4_MODULES.json"
D22_Well_Post;Стійка криниці з підшипником;05_Props;0.34;2.5;0.34;184;"Центр обертання або складання; див. STAGE4_MODULES.json"
D23_Winch_Drum;Вал і барабан коловорота;05_Props;2.46;0.45;0.45;1040;"Центр обертання або складання; див. STAGE4_MODULES.json"
D24_Winch_Crank;Окрема ручка коловорота;05_Props;0.285;0.467;0.094;72;"Центр обертання або складання; див. STAGE4_MODULES.json"
D25_Bucket_Body;Корпус порожнистого відра;05_Props;0.6;0.44;0.6;260;"Центр обертання або складання; див. STAGE4_MODULES.json"
D26_Bucket_Handle;Окрема дужка відра;05_Props;0.64337;0.3757;0.03811;104;"Центр обертання або складання; див. STAGE4_MODULES.json"
D27_Rope_1m;Метровий відрізок мотузки;05_Props;0.044;1.0;0.044;28;"Центр обертання або складання; див. STAGE4_MODULES.json"
D28_Pulley_Wheel;Шків із жолобом, вісь Z;05_Props;0.48;0.48;0.16;224;"Центр обертання або складання; див. STAGE4_MODULES.json"
D29_Pier_Deck_2m;Настил пристані 1,5 × 2 м;05_Props;1.5;0.26;2.0;440;Точки складання наведено у WATERFRONT_MODULES.json
D30_Pier_Post_2m;Дерев’яна паля 2 м;05_Props;0.3;2.0;0.3;60;Точки складання наведено у WATERFRONT_MODULES.json
D31_Pier_Post_Cap;Окрема кришка палі з обручем;05_Props;0.34;0.17;0.34;92;Точки складання наведено у WATERFRONT_MODULES.json
D32_Rail_Post_1m;Стовпчик поручня 1 м;05_Props;0.17;1.0;0.17;88;Точки складання наведено у WATERFRONT_MODULES.json
D33_Rail_Pair_2m;Два поручні прольоту 2 м;05_Props;0.12;0.6;2.0;88;Точки складання наведено у WATERFRONT_MODULES.json
D34_Rope_Rail_2m;Провисла мотузка прольоту 2 м;05_Props;0.052;0.21431;2.01134;104;Точки складання наведено у WATERFRONT_MODULES.json
D35_Bridge_Arch_Beam_4m;Аркова несуча балка мосту 4 м;05_Props;0.18;0.84644;4.0;156;Точки складання наведено у WATERFRONT_MODULES.json
D36_Bridge_Plank_1_5m;Окрема дошка мосту 1,6 м;05_Props;1.6;0.1;0.276;44;Точки складання наведено у WATERFRONT_MODULES.json
D37_Bridge_Arch_Rail_4m;Арковий поручень мосту 4 м;05_Props;0.12;0.74848;4.04629;104;Точки складання наведено у WATERFRONT_MODULES.json
D38_Ladder_Rung;Окрема сходинка драбини;05_Props;0.6;0.05023;0.058;20;Точки складання наведено у WATERFRONT_MODULES.json
D39_Ladder_Rail_2m;Окрема тятива драбини 2 м;05_Props;0.074;2.0;0.086;44;Точки складання наведено у WATERFRONT_MODULES.json
D40_Mooring_Bollard;Швартовний стовпчик;05_Props;0.6;0.52;0.36;100;Точки складання наведено у WATERFRONT_MODULES.json
D41_Rope_Coil;Мотузка, згорнута кільцями;05_Props;1.02642;0.04503;0.70796;512;Точки складання наведено у WATERFRONT_MODULES.json
D42_Mooring_Ring;Причальне кільце з пластиною;05_Props;0.33;0.33;0.093;140;Точки складання наведено у WATERFRONT_MODULES.json
TX_A01_Wall_Solid_2m;Суцільна стіна 2 × 2 м — текстурний варіант;06_Textured;1.992;1.992;0.34;540;"Низ ліворуч; модуль росте вздовж +X Unity"
TX_D05_Crate_Open;Відкритий дощатий ящик — текстурний варіант;06_Textured;1.0;0.8;0.8;1100;"Низ по центру; точні стики у STAGE4_MODULES.json"
TX_D06_Crate_Lid;Окрема кришка ящика — текстурний варіант;06_Textured;1.014;0.107;0.82;308;"Задній край кришки; обертання X Unity"
TX_D07_Barrel_Open;Порожниста бочка — текстурний варіант;06_Textured;1.02;1.1;1.02;636;"Низ по центру; точні стики у STAGE4_MODULES.json"
TX_D08_Barrel_Lid;Окрема кришка бочки — текстурний варіант;06_Textured;0.874;0.065;0.878;316;"Низ по центру; точні стики у STAGE4_MODULES.json"
TX_D09_Table_Top_2m;Стільниця з дощок, 2 м — текстурний варіант;06_Textured;2.02;0.14;0.92;308;"Низ по центру; точні стики у STAGE4_MODULES.json"
TX_D16_Cart_Wheel;Колесо воза зі спицями, вісь X — текстурний варіант;06_Textured;0.28;1.128;1.128;644;"Центр обертання або складання; див. STAGE4_MODULES.json"
TX_D17_Cart_Bed;Шасі й дощатий настил воза — текстурний варіант;06_Textured;1.82;0.3;2.0;440;"Центр обертання або складання; див. STAGE4_MODULES.json"
TX_D21_Well_Ring;Кам’яне кільце криниці — текстурний варіант;06_Textured;2.0;0.83;2.0;1440;"Центр обертання або складання; див. STAGE4_MODULES.json"
TX_N01_Rock_Boulder;Валун — текстурний варіант;06_Textured;1.95048;1.15;1.33861;66;Низ по центру
TX_N02_Trunk;Стовбур 2 м — текстурний варіант;06_Textured;0.7;2.0;0.62;164;"Місце приєднання; точки стику — у sockets.json"
TX_N07_Log;Колода — текстурний варіант;06_Textured;0.56754;0.49945;1.5;76;Низ по центру
GR_Tree_Broad_LOD0;Широке дерево — готове LOD0;07_Optimized;3.13098;4.58719;1.89404;1534;"Основа дерева; масштаб 1 метр"
GR_Tree_Broad_LOD1;Широке дерево — готове LOD1;07_Optimized;3.12623;4.57925;1.92155;884;"Основа дерева; масштаб 1 метр"
GR_Tree_Broad_LOD2;Широке дерево — готове LOD2;07_Optimized;3.11583;4.57752;1.91933;420;"Основа дерева; масштаб 1 метр"
GR_Tree_Pine_LOD0;Сосна — готове LOD0;07_Optimized;2.5497;3.0634;2.58469;11710;"Основа дерева; масштаб 1 метр"
GR_Tree_Pine_LOD1;Сосна — готове LOD1;07_Optimized;2.50812;3.04377;2.58385;8920;"Основа дерева; масштаб 1 метр"
GR_Tree_Pine_LOD2;Сосна — готове LOD2;07_Optimized;2.50471;3.03823;2.53605;2774;"Основа дерева; масштаб 1 метр"
GR_Tree_Slim_LOD0;Вузьке дерево — готове LOD0;07_Optimized;2.47059;4.58425;2.30551;994;"Основа дерева; масштаб 1 метр"
GR_Tree_Slim_LOD1;Вузьке дерево — готове LOD1;07_Optimized;2.43457;4.57631;2.33193;570;"Основа дерева; масштаб 1 метр"
GR_Tree_Slim_LOD2;Вузьке дерево — готове LOD2;07_Optimized;2.42765;4.57458;2.31518;270;"Основа дерева; масштаб 1 метр"
W01_River_Straight_4m;Пряма річка 4 м × 2 м;08_Water;2.0;0.12;4.0;56;"Поверхня води Y=0; напрям течії +Z; стики у WATER_MODULES.json"
W02_River_Straight_2m;Пряма річка 2 м × 2 м;08_Water;2.0;0.12;2.0;56;"Поверхня води Y=0; напрям течії +Z; стики у WATER_MODULES.json"
W03_River_Right90;Поворот річки праворуч 90°;08_Water;3.0;0.12;3.0;104;"Поверхня води Y=0; напрям течії +Z; стики у WATER_MODULES.json"
W04_River_Left90;Поворот річки ліворуч 90°;08_Water;3.0;0.12;3.0;104;"Поверхня води Y=0; напрям течії +Z; стики у WATER_MODULES.json"
W05_River_Widen_2to4;Розширення річки 2 → 4 м;08_Water;4.0;0.12;4.0;56;"Поверхня води Y=0; напрям течії +Z; стики у WATER_MODULES.json"
W06_Lake_Center_4m;Центральна плитка озера 4 × 4 м;08_Water;4.0;0.12;4.0;56;"Поверхня води Y=0; напрям течії +Z; стики у WATER_MODULES.json"
W07_Lake_Edge_4m;Край озера 4 × 2 м;08_Water;4.0;0.12;2.0;56;"Поверхня води Y=0; напрям течії +Z; стики у WATER_MODULES.json"
W08_Lake_Corner_R2;Заокруглений кут озера R=2 м;08_Water;2.0;0.12;2.0;36;"Поверхня води Y=0; напрям течії +Z; стики у WATER_MODULES.json"
W09_Lake_Inlet_4m;Край озера зі входом річки 2 м;08_Water;4.0;0.12;2.0;56;"Поверхня води Y=0; напрям течії +Z; стики у WATER_MODULES.json"
W10_River_Bank_4m;Прямий берег річки 4 м;08_Water;0.75;0.75;4.0;36;"Поверхня води Y=0; напрям течії +Z; стики у WATER_MODULES.json"
W11_River_Bank_Outer90;Зовнішній берег повороту;08_Water;3.75;0.75;3.75;68;"Поверхня води Y=0; напрям течії +Z; стики у WATER_MODULES.json"
W12_River_Bank_Inner90;Внутрішній берег повороту;08_Water;1.0;0.75;1.0;68;"Поверхня води Y=0; напрям течії +Z; стики у WATER_MODULES.json"
W13_Lake_Bank_4m;Прямий берег озера 4 м;08_Water;4.0;0.75;0.75;36;"Поверхня води Y=0; напрям течії +Z; стики у WATER_MODULES.json"
W14_Lake_Bank_Corner;Заокруглений берег озера;08_Water;2.75;0.75;2.75;68;"Поверхня води Y=0; напрям течії +Z; стики у WATER_MODULES.json"
W15_Lake_Bank_Inlet;Берег із проміжком для річки;08_Water;4.0;0.75;0.75;24;"Поверхня води Y=0; напрям течії +Z; стики у WATER_MODULES.json"
W16_Rock_Cave_Mouth;Скельний грот для джерела або стоку;08_Water;6.63061;3.24;4.07841;264;"Поверхня води Y=0; напрям течії +Z; стики у WATER_MODULES.json"
W17_Bank_Widen_Right;Правий берег розширення 2 → 4 м;08_Water;1.75;0.75;4.0;36;"Поверхня води Y=0; напрям течії +Z; стики у WATER_MODULES.json"
W18_Bank_Widen_Left;Лівий берег розширення 2 → 4 м;08_Water;1.75;0.75;4.0;36;"Поверхня води Y=0; напрям течії +Z; стики у WATER_MODULES.json"
W19_Demo_Basin;Демонстраційна земля з руслом і западиною озера;08_Water;20.0;1.15;29.0;5226;"Поверхня води Y=0; напрям течії +Z; стики у WATER_MODULES.json"
